STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT11,WT11_ATTRIBUTES
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,4/2/2017,0,"T,,7,2400",0,",,7",0,",,7",60,",,7",42,",,7",47,",,7,2400",,,,,,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,4/3/2017,0.28,",,7,2400",0,",,7",0,",,7",52,",,7",46,",,7",46,",,7,2400",,,1,",,7",,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,4/4/2017,0,"T,,7,2400",0,",,7",0,",,7",56,",,7",46,",,7",47,",,7,2400",,,1,",,7",,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,4/5/2017,1.24,",,7,2400",0,",,7",0,",,7",48,",,7",39,",,7",39,",,7,2400",,,1,",,7",,,,,,,,,1,",,7"
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,4/6/2017,0.5,",,7,2400",0,",,7",0,",,7",52,",,7",38,",,7",40,",,7,2400",,,,,,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,4/7/2017,0,",,7,2400",0,",,7",0,",,7",54,",,7",37,",,7",42,",,7,2400",,,,,,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,4/8/2017,0,",,7,2400",0,",,7",0,",,7",67,",,7",40,",,7",58,",,7,2400",,,,,,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,4/9/2017,0,",,7,2400",0,",,7",,,77,",,7",57,",,7",69,",,7,2400",,,,,,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,4/10/2017,0.65,",,7,2400",0,"T,,7",0,",,7",78,",,7",42,",,7",42,",,7,2400",,,1,",,7",1,",,7",,,1,",,7",,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,4/11/2017,0,"T,,7,2400",0,",,7",0,",,7",55,",,7",42,",,7",42,",,7,2400",,,1,",,7",,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,4/12/2017,0,",,7,2400",0,",,7",0,",,7",57,",,7",39,",,7",48,",,7,2400",,,,,,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,4/13/2017,0.15,",,7,2400",0,",,7",0,",,7",62,",,7",45,",,7",50,",,7,2400",,,1,",,7",,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,4/14/2017,0.21,",,7,2400",0,",,7",0,",,7",69,",,7",46,",,7",63,",,7,2400",,,1,",,7",,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,4/15/2017,0,",,7,2400",0,",,7",0,",,7",82,",,7",63,",,7",71,",,7,2400",,,,,,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,4/16/2017,0.45,",,7,2400",0,",,7",0,",,7",74,",,7",57,",,7",57,",,7,2400",,,1,",,7",1,",,7",,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,4/17/2017,0,",,7,2400",0,",,7",0,",,7",69,",,7",45,",,7",45,",,7,2400",,,,,,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,4/18/2017,0,",,7,2400",0,",,7",0,",,7",77,",,7",44,",,7",69,",,7,2400",,,,,,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,4/19/2017,0.11,",,7,2400",0,",,7",0,",,7",70,",,7",46,",,7",49,",,7,2400",,,,,1,",,7",,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,4/20/2017,0,"T,,7,2400",0,",,7",0,",,7",75,",,7",49,",,7",49,",,7,2400",,,,,,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,4/21/2017,0,",,7,2400",0,",,7",0,",,7",52,",,7",45,",,7",47,",,7,2400",,,,,,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,4/22/2017,0,",,7,2400",0,",,7",0,",,7",58,",,7",44,",,7",47,",,7,2400",0,",,7",,,,,,,,,,,,
